SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1637.05,1715.35,1635.00,1702.25,1702.25,1657.30,1892,24718,41533846.00,
500003,AEGIS LOGIS ,A ,Q,248.05,281.00,246.90,276.05,276.05,249.65,2800,123263,33003670.00,
500008,AMAR RAJA BA,A ,Q,808.00,824.25,790.75,804.05,804.05,807.75,1092,31445,25442441.00,
500009,A.SARABHAI  ,XT,Q,13.18,13.18,12.52,12.90,12.90,12.56,211,133520,1739625.00,
500010,HDFC        ,A ,Q,1957.50,1974.10,1933.80,1967.55,1969.90,1955.70,3233,104081,204088081.00,
500012,ANDHRA PETRO,X ,Q,70.45,70.80,66.95,67.05,66.95,70.45,492,149253,10143283.00,
500013,ANSAL INFRAS,B ,Q,27.10,27.10,25.60,26.10,26.10,26.55,274,64988,1728491.00,
500014,APPLE FINANC,X ,Q,3.40,3.63,3.38,3.63,3.63,3.46,26,7225,26173.00,
500020,BOM DYEING  ,A ,Q,229.45,232.50,206.00,221.50,221.50,227.85,7471,1010611,224673679.00,
500023,ASIANHOTNR  ,B ,Q,290.00,290.50,265.00,270.10,270.10,264.10,188,8389,2398806.00,
500024,ASSAMCO     ,T ,Q,4.85,5.11,4.85,4.96,4.96,4.96,66,64295,320675.00,
500027,ATUL LTD.   ,A ,Q,2748.00,2764.00,2680.00,2724.20,2724.20,2719.10,208,1008,2743412.00,
500028,ATV PROJECTS,XT,Q,10.80,11.49,10.80,11.48,11.49,10.95,71,22622,256986.00,
500029,AUTOLITE(I) ,B ,Q,68.00,69.25,66.85,68.30,68.50,65.45,65,6193,426401.00,
500031,BAJAJ ELECT.,A ,Q,487.55,499.00,465.05,471.35,471.35,487.70,1462,61440,30101233.00,
500032,BAJAJHIND   ,A ,Q,14.35,14.35,13.90,14.04,14.04,14.25,739,754432,10655566.00,
500033,FORCE MOTR  ,B ,Q,3051.10,3130.00,3040.00,3077.05,3077.05,3049.65,4186,39192,121031051.00,
500034,BAJFINANCE  ,A ,Q,1677.00,1761.70,1645.80,1731.50,1731.50,1677.50,3802,106335,180712944.00,
500038,BALRAM.CHINI,A ,Q,122.00,122.40,116.25,118.55,118.60,122.15,1888,143473,17171269.00,
500039,BANCO PROD. ,B ,Q,236.70,240.20,230.60,237.10,236.60,234.75,757,33836,7988081.00,
500040,CENTURY TEXT,A ,Q,1395.00,1396.50,1338.60,1384.00,1377.00,1386.60,1339,45162,62131594.00,
500041,BANNARI AMAN,B ,Q,1847.90,1847.90,1835.00,1846.85,1835.00,1877.35,2,12,22161.00,
500042,BASF INDIA  ,B ,Q,2126.00,2215.00,2045.10,2060.75,2061.20,2136.05,555,3211,6849699.00,
500043,BATA INDIA  ,A ,Q,710.25,718.00,693.90,711.75,711.75,705.80,2322,64496,45619681.00,
500048,BEML LTD    ,A ,Q,1459.90,1493.95,1434.60,1453.90,1461.90,1453.50,1555,30830,45093183.00,
500049,BHARAT ELECT,A ,Q,170.00,171.20,161.40,161.90,161.90,169.40,9325,641396,105804983.00,
500052,BHANSALI ENG,B ,Q,171.80,178.20,163.60,177.05,177.05,169.75,2756,338729,58909396.00,
500055,BHUSH STEEL ,B ,Q,52.25,52.70,49.30,49.90,49.90,51.20,3831,952504,48229552.00,
500058,BIHAR SPONGE,XT,Q,2.48,2.70,2.46,2.50,2.50,2.58,28,10291,25556.00,
500059,BINANI IND. ,T ,Q,104.00,105.00,102.00,102.95,102.95,104.60,221,15214,1576644.00,
500060,BIRLACABLE  ,T ,Q,55.00,56.75,52.35,55.50,54.50,55.10,66,7803,430793.00,
500067,BLUE STAR   ,A ,Q,761.90,768.00,729.25,733.30,730.00,752.00,459,204175,151089620.00,
500068,DISA INDIA  ,X ,Q,5920.00,6005.00,5920.00,6000.00,6000.00,6000.20,9,45,269945.00,
500069,BNK CAPITAL ,X ,Q,125.00,131.95,124.25,125.40,125.40,125.30,20,493,62541.00,
500074,BPL LTD.    ,B ,Q,102.15,103.60,97.80,100.05,100.05,101.95,1615,235595,23928270.00,
500078,CAMPH.& ALL ,X ,Q,1084.80,1113.40,1075.00,1103.40,1105.00,1106.95,84,1942,2118820.00,
500083,CENTURY EXT ,B ,Q,6.89,6.89,6.12,6.30,6.30,6.43,80,31551,200442.00,
500084,CESC LTD.   ,A ,Q,1060.05,1066.75,1019.00,1043.30,1043.30,1054.90,1413,33993,35506959.00,
500085,CHAMBAL FERT,A ,Q,161.00,164.60,150.05,152.85,152.85,160.40,3937,417026,66126082.00,
500086,EXIDE IND.  ,A ,Q,223.80,224.20,215.55,219.40,220.00,223.80,1873,197494,43294960.00,
